,id,Star_name,Distance,Mass,Radius,Gravity
0,0.0,Star_name,,,,
1,1.0,Sun,1.5813e-05,7.868724668999998e+90,3.36717749493e+26,9.211165133900023e+57
2,2.0,Sirius,8.6,1.65243218049e+91,5.7578735163303e+26,6.615179638586246e+57
3,3.0,Canopus,310.0,1.1803087003499998e+92,2.3906960214003e+28,2.7408743703332733e+55
4,4.0,Alpha Centauri,4.4,8.6555971359e+90,4.040612993916e+26,7.036306699506959e+57
5,5.0,Arcturus,37.0,8.6555971359e+90,8.754661486818e+27,1.4988582318476363e+55
6,6.0,Vega,25.0,1.73111942718e+91,9.091379236311e+26,2.7797754862249708e+57
7,7.0,Capella,43.0,2.04586841394e+91,4.040612993916e+27,1.6631270380652817e+56
8,8.0,Rigel,860.0,1.8098066738700002e+92,2.6567030434997703e+28,3.403207250513644e+55
9,9.0,Procyon,11.4,1.18030870035e+91,6.397637240367e+26,3.827353933753472e+57
10,10.0,Betelgeuse,,1.5737449338e+92,3.1988186201835e+29,2.0412554313351843e+53
11,11.0,Achernar,144.0,5.272045528229999e+91,3.1314750702849004e+27,7.135484610605864e+56
12,12.0,Hadar,390.0,8.262160902449998e+91,2.8957726456398e+27,1.3076965103562764e+57
13,13.0,Altair,17.0,1.41637044042e+91,6.060919490874e+26,5.117313963277789e+57
14,14.0,Acrux,320.0,1.41637044042e+92,2.9967879704877e+27,2.0931823306426004e+57
15,15.0,Aldebaran,65.0,1.18030870035e+91,1.4815580977692e+28,7.136749845480389e+54
16,16.0,Antares,600.0,9.4424696028e+91,2.2896806965524e+29,2.3904407786937767e+53
17,17.0,Spica,260.0,8.993952296666998e+91,2.51528158871271e+27,1.886772748835184e+57
18,18.0,Pollux,34.0,1.4950576871099996e+91,2.9631161955384e+27,2.2599707844021227e+56
19,19.0,Fomalhaut,25.0,1.4950576871099996e+91,6.060919490874e+26,5.4016091834598885e+57
20,20.0,Deneb,,1.49505768711e+92,6.835370314707901e+28,4.2469396865757554e+54
21,21.0,Mimosa,350.0,1.25899594704e+92,2.8284290957412e+27,2.088699576848077e+57
22,22.0,Regulus,77.0,2.9901153742199996e+91,1.0438250234283e+27,3.6422921445182194e+57
23,23.0,Adhara,430.0,9.83590583625e+91,4.714048492902e+27,5.874467559885216e+56
24,24.0,Shaula,700.0,1.1409650770049998e+92,2.9631161955384e+27,1.7247145459910937e+57
25,25.0,Castor,52.0,2.2032429073199995e+91,8.081225987832e+26,4.477649717868064e+57
26,26.0,Gacrux,88.0,1.18030870035e+91,2.8284290957412e+28,1.9581558532950728e+54
27,27.0,Bellatrix,240.0,6.767103215339998e+91,1.9529629470594e+27,2.3548162946355583e+57
28,28.0,Elnath,130.0,3.9343623345e+91,1.4142145478706e+27,2.6108744710600962e+57
29,29.0,Miaplacidus,110.0,2.75405363415e+91,2.2896806965524e+27,6.9721189378568505e+56
30,30.0,Alnilam,,2.51799189408e+92,1.4142145478706e+28,1.670959661478462e+56
31,31.0,Gamma Velorum,,7.0818522021e+91,2.020306496958e+27,2.302791283475005e+57
